Nr.;Geöffnete Tore
1;keine
2;AB 1
3;AB 2
4;AB 3
5;AN 1
6;AN 2
7;AN 3
8;AB 1, AB 2
9;AB 1, AB 3
10;AB 1, AN 1
11;AB 1, AN 2
12;AB 1, AN 3
13;AB 2, AB 3
14;AB 2, AN 1
15;AB 2, AN 2
16;AB 2, AN 3
17;AB 3, AN 1
18;AB 3, AN 2
19;AB 3, AN 3
20;AN 1, AN 2
21;AN 1, AN 3
22;AN 2, AN 3
23;AB 1, AB 2, AB 3
24;AB 1, AB 2, AN 1
25;AB 1, AB 2, AN 2
26;AB 1, AB 2, AN 3
27;AB 1, AB 3, AN 1
28;AB 1, AB 3, AN 2
29;AB 1, AB 3, AN 3
30;AB 1, AN 1, AN 2
31;AB 1, AN 1, AN 3
32;AB 1, AN 2, AN 3
33;AB 2, AB 3, AN 1
34;AB 2, AB 3, AN 2
35;AB 2, AB 3, AN 3
36;AB 2, AN 1, AN 2
37;AB 2, AN 1, AN 3
38;AB 2, AN 2, AN 3
39;AB 3, AN 1, AN 2
40;AB 3, AN 1, AN 3
41;AB 3, AN 2, AN 3
42;AN 1, AN 2, AN 3
43;AB 1, AB 2, AB 3, AN 1
44;AB 1, AB 2, AB 3, AN 2
45;AB 1, AB 2, AB 3, AN 3
46;AB 1, AB 2, AN 1, AN 2
47;AB 1, AB 2, AN 1, AN 3
48;AB 1, AB 2, AN 2, AN 3
49;AB 1, AB 3, AN 1, AN 2
50;AB 1, AB 3, AN 1, AN 3
51;AB 1, AB 3, AN 2, AN 3
52;AB 1, AN 1, AN 2, AN 3
53;AB 2, AB 3, AN 1, AN 2
54;AB 2, AB 3, AN 1, AN 3
55;AB 2, AB 3, AN 2, AN 3
56;AB 2, AN 1, AN 2, AN 3
57;AB 3, AN 1, AN 2, AN 3
58;AB 1, AB 2, AB 3, AN 1, AN 2
59;AB 1, AB 2, AB 3, AN 1, AN 3
60;AB 1, AB 2, AB 3, AN 2, AN 3
61;AB 1, AB 2, AN 1, AN 2, AN 3
62;AB 1, AB 3, AN 1, AN 2, AN 3
63;AB 2, AB 3, AN 1, AN 2, AN 3
64;AB 1, AB 2, AB 3, AN 1, AN 2, AN 3
