Kennwert;Variante_1;Variante_2;Variante_3;Variante_4;Variante_5;Variante_6;Grenzwert_meshDict
Ordner_Anbieter;case1;case3;case4;case5;case35;case45;
Zellen;2344113;2431845;2339158;2331937;2419669;2332349;
Punkte;2836156;2942116;2828587;2823838;2929798;2824316;
Flaechen_gesamt;7523835;7805172;7506364;7487169;7768506;7488476;
Flaechen_innen;6996032;7256841;6983818;6959331;7220140;6960558;
Randpatches;17;18;17;17;18;17;
Hexaeder;2178856;2261272;2173862;2166723;2249139;2167145;
Tetraeder;1784;1848;1778;1792;1856;1784;
Polyeder;156297;161493;156317;156210;161406;156218;
Prismen;3088;3088;3108;3104;3104;3104;
Nichtorthogonalitaet_max_Grad;57.4896;57.4896;63.4881;58.0545;58.0545;58.0545;65
Nichtorthogonalitaet_mittel_Grad;3.52206;3.51544;3.69348;3.53769;3.52578;3.53045;
Skewness_max;2.45372;2.45372;2.46924;2.42899;2.42899;2.429;4 (intern) / 20 (Rand)
AspectRatio_max;9.74946;9.74946;10.2808;9.69432;9.69432;9.78184;
Zellvolumen_min_m3;9.97244e-06;9.97244e-06;7.6262e-06;1.01636e-05;1.01636e-05;1.00402e-05;1e-08
Zellvolumen_max_m3;75.1709;75.1709;75.1709;75.1709;75.1709;75.1709;
Gesamtvolumen_m3;2.21139e+06;2.21136e+06;2.21139e+06;2.21139e+06;2.21136e+06;2.21139e+06;
Flaeche_min_m2;0.000638842;0.000638842;0.000589984;0.000639865;0.000639865;0.000630891;1e-13
Flaeche_max_m2;17.1499;17.1499;17.1499;17.1498;17.1498;17.1498;
Kantenlaenge_min_m;0.0138005;0.0138005;0.0138005;0.0148502;0.0148502;0.0148411;
Kantenlaenge_max_m;4.14525;4.14525;4.14525;4.14521;4.14521;4.14521;
FaceFlatness_min;0.885382;0.885382;0.854927;0.853816;0.853816;0.83987;
CellDeterminant_min;0.0115992;0.0115992;0.00749728;0.0105084;0.0105084;0.0105084;
FaceInterpolationWeight_min;0.089966;0.089966;0.089966;0.0899642;0.0899642;0.0899642;
FaceVolumeRatio_min;0.0536119;0.0536119;0.0536119;0.0540815;0.0540815;0.0540815;
Regionen;1;1;1;1;1;1;1
Konkave_Zellen;0;0;0;0;0;0;
Gesamturteil;Mesh OK;Mesh OK;Mesh OK;Mesh OK;Mesh OK;Mesh OK;
