Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),ZONE_HALLE:Zone Outdoor Air Drybulb Temperature [C](TimeStep),ZONE_HALLE:Zone Outdoor Air Wind Speed [m/s](TimeStep),ZONE_HALLE:Zone Mean Air Temperature [C](TimeStep),ZONE_HALLE:Zone Ventilation Sensible Heat Loss Energy [J](TimeStep),ZONE_HALLE:Zone Ventilation Current Density Volume Flow Rate [m3/s](TimeStep),ZONE_HALLE:Zone Ventilation Standard Density Volume Flow Rate [m3/s](TimeStep),ZONE_HALLE:Zone Ventilation Mass Flow Rate [kg/s](TimeStep),ZONE_HALLE:Zone Ventilation Current Density Air Change Rate [ach](TimeStep),IDEALLOADS:Zone Ideal Loads Supply Air Total Heating Rate [W](TimeStep),IDEALLOADS:Zone Ideal Loads Supply Air Total Cooling Rate [W](TimeStep) 
 01/15  00:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,6.0804192976386515,6.091833438104616,6.887848933006333,2.026806432546217,779.8071217456601,0.0 
 01/15  00:30:00,17.0,5.071965,247.5,17.0,5.071965,17.000000000000004,2.2391663511806296e-8,6.080419297638651,6.091833438104615,6.887848933006332,2.0268064325462167,780.0155972309877,0.0 
 01/15  00:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,6.0804192976386515,6.091833438104616,6.887848933006333,2.026806432546217,780.2224734069314,0.0 
 01/15  01:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,6.080419297638651,6.091833438104615,6.887848933006332,2.0268064325462167,780.4277623953533,0.0 
 01/15  01:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,6.080419297638651,6.091833438104615,6.887848933006332,2.0268064325462167,780.6314762273105,0.0 
 01/15  01:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,6.080419297638651,6.091833438104615,6.887848933006332,2.0268064325462167,780.8336268466667,0.0 
 01/15  01:45:00,17.0,5.071965,247.5,17.0,5.071965,17.000000000000004,2.2391663511806296e-8,6.080419297638651,6.091833438104615,6.887848933006332,2.0268064325462167,781.0342261076441,0.0 
 01/15  02:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,6.0804192976386515,6.091833438104616,6.887848933006333,2.026806432546217,781.2332857772709,0.0 
 01/15  02:15:00,17.0,5.071965,247.5,17.0,5.071965,17.000000000000004,2.2391663511806296e-8,6.080419297638651,6.091833438104615,6.887848933006332,2.0268064325462167,781.4308175364279,0.0 
 01/15  02:30:00,17.0,5.071965,247.5,17.0,5.071965,17.000000000000004,2.23916635118063e-8,6.0804192976386515,6.091833438104616,6.887848933006333,2.026806432546217,781.6268329770537,0.0 
 01/15  02:45:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,0.0,6.0804192976386515,6.091833438104616,6.887848933006333,2.026806432546217,781.8213436085499,0.0 
 01/15  03:00:00,17.0,5.071965,247.5,17.0,5.071965,17.000000000000004,2.23916635118063e-8,6.0804192976386515,6.091833438104616,6.887848933006333,2.026806432546217,782.0143608530054,0.0 
 01/15  03:15:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,0.0,6.0804192976386515,6.091833438104616,6.887848933006333,2.026806432546217,782.205896046944,0.0 
 01/15  03:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,6.0804192976386515,6.091833438104616,6.887848933006333,2.026806432546217,782.3959604464474,0.0 
 01/15  03:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,6.080419297638651,6.091833438104615,6.887848933006332,2.0268064325462167,782.5845652195857,0.0 
 01/15  04:00:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,0.0,6.080419297638651,6.091833438104615,6.887848933006332,2.0268064325462167,782.7717214551524,0.0 
 01/15  04:15:00,17.0,5.071965,247.5,17.0,5.071965,17.000000000000004,2.23916635118063e-8,6.0804192976386515,6.091833438104616,6.887848933006333,2.026806432546217,782.9574401583525,0.0 
 01/15  04:30:00,17.0,5.071965,247.5,17.0,5.071965,17.000000000000004,2.23916635118063e-8,6.0804192976386515,6.091833438104616,6.887848933006333,2.026806432546217,783.1417322515044,0.0 
 01/15  04:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,6.0804192976386515,6.091833438104616,6.887848933006333,2.026806432546217,783.3246085782303,0.0 
 01/15  05:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,6.080419297638651,6.091833438104615,6.887848933006332,2.0268064325462167,783.5060798997292,0.0 
 01/15  05:15:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,0.0,6.080419297638651,6.091833438104615,6.887848933006332,2.0268064325462167,783.6861568974565,0.0 
 01/15  05:30:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,0.0,6.0804192976386515,6.091833438104616,6.887848933006333,2.026806432546217,783.8648501745191,0.0 
 01/15  05:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,6.0804192976386515,6.091833438104616,6.887848933006333,2.026806432546217,784.0421702536989,0.0 
 01/15  06:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,6.080419297638651,6.091833438104615,6.887848933006332,2.0268064325462167,784.2181275800103,0.0 
 01/15  06:15:00,17.0,5.071965,247.5,17.0,5.071965,17.000000000000004,2.2391663511806296e-8,6.080419297638651,6.091833438104615,6.887848933006332,2.0268064325462167,784.3927325218685,0.0 
 01/15  06:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,6.0804192976386515,6.091833438104616,6.887848933006333,2.026806432546217,784.5659953682919,0.0 
 01/15  06:45:00,17.0,5.071965,247.5,17.0,5.071965,17.000000000000004,2.2391663511806296e-8,6.080419297638651,6.091833438104615,6.887848933006332,2.0268064325462167,784.7379263340265,0.0 
 01/15  07:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,6.0804192976386515,6.091833438104616,6.887848933006333,2.026806432546217,784.9085355550053,0.0 
 01/15  07:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,6.080419297638651,6.091833438104615,6.887848933006332,2.0268064325462167,785.0778330948673,0.0 
 01/15  07:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,6.080419297638651,6.091833438104615,6.887848933006332,2.0268064325462167,785.2458289389035,0.0 
 01/15  07:45:00,17.0,5.071965,247.5,17.0,5.071965,17.000000000000004,2.2391663511806296e-8,6.080419297638651,6.091833438104615,6.887848933006332,2.0268064325462167,785.412533000461,0.0 
 01/15  08:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,6.0804192976386515,6.091833438104616,6.887848933006333,2.026806432546217,785.5779551173329,0.0 
 01/15  08:15:00,17.0,5.071965,247.5,17.0,5.071965,17.000000000000004,2.2391663511806296e-8,6.080419297638651,6.091833438104615,6.887848933006332,2.0268064325462167,785.7421050552513,0.0 
 01/15  08:30:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,0.0,6.0804192976386515,6.091833438104616,6.887848933006333,2.026806432546217,785.9049925048606,0.0 
 01/15  08:45:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999993,0.0,6.0804192976386515,6.091833438104616,6.887848933006333,2.026806432546217,786.06662708777,0.0 
 01/15  09:00:00,17.0,5.071965,247.5,17.0,5.071965,17.000000000000004,2.2391663511806306e-8,6.080419297638653,6.091833438104618,6.887848933006334,2.0268064325462176,786.2270183501532,0.0 
 01/15  09:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,6.0804192976386515,6.091833438104616,6.887848933006333,2.026806432546217,786.3861757683336,0.0 
 01/15  09:30:00,17.0,5.071965,247.5,17.0,5.071965,17.000000000000004,2.2391663511806296e-8,6.080419297638651,6.091833438104615,6.887848933006332,2.0268064325462167,786.5441087496004,0.0 
 01/15  09:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,6.0804192976386515,6.091833438104616,6.887848933006333,2.026806432546217,786.7008266270859,0.0 
 01/15  10:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,6.080419297638651,6.091833438104615,6.887848933006332,2.0268064325462167,786.8563386677997,0.0 
 01/15  10:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,6.080419297638651,6.091833438104615,6.887848933006332,2.0268064325462167,787.0106540666893,0.0 
 01/15  10:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,6.080419297638651,6.091833438104615,6.887848933006332,2.0268064325462167,787.1637819516475,0.0 
 01/15  10:45:00,17.0,5.071965,247.5,17.0,5.071965,17.000000000000004,2.2391663511806296e-8,6.080419297638651,6.091833438104615,6.887848933006332,2.0268064325462167,787.3157313812992,0.0 
 01/15  11:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,6.0804192976386515,6.091833438104616,6.887848933006333,2.026806432546217,787.4665113463997,0.0 
 01/15  11:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,6.080419297638651,6.091833438104615,6.887848933006332,2.0268064325462167,787.6161307713485,0.0 
 01/15  11:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,6.080419297638651,6.091833438104615,6.887848933006332,2.0268064325462167,787.7645985119742,0.0 
 01/15  11:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,6.080419297638651,6.091833438104615,6.887848933006332,2.0268064325462167,787.9119233592646,0.0 
 01/15  12:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,6.080419297638651,6.091833438104615,6.887848933006332,2.0268064325462167,788.0581140377326,0.0 
