Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),ZONE_SUED:Zone Outdoor Air Drybulb Temperature [C](TimeStep),ZONE_SUED:Zone Outdoor Air Wind Speed [m/s](TimeStep),ZONE_NORD:Zone Outdoor Air Drybulb Temperature [C](TimeStep),ZONE_NORD:Zone Outdoor Air Wind Speed [m/s](TimeStep),ZONE_SUED:Zone Mean Air Temperature [C](TimeStep),ZONE_NORD:Zone Mean Air Temperature [C](TimeStep),ZONE_SUED:Zone Ventilation Sensible Heat Loss Energy [J](TimeStep),ZONE_SUED:Zone Ventilation Current Density Volume Flow Rate [m3/s](TimeStep),ZONE_SUED:Zone Ventilation Standard Density Volume Flow Rate [m3/s](TimeStep),ZONE_SUED:Zone Ventilation Mass Flow Rate [kg/s](TimeStep),ZONE_SUED:Zone Ventilation Current Density Air Change Rate [ach](TimeStep),ZONE_NORD:Zone Mixing Current Density Volume Flow Rate [m3/s](TimeStep),ZONE_NORD:Zone Mixing Standard Density Volume Flow Rate [m3/s](TimeStep),ZONE_NORD:Zone Mixing Mass Flow Rate [kg/s](TimeStep),ZONE_NORD:Zone Mixing Sensible Heat Loss Energy [J](TimeStep),ZONE_NORD:Zone Mixing Sensible Heat Gain Energy [J](TimeStep),ZONE_SUED:Zone Mixing Current Density Volume Flow Rate [m3/s](TimeStep),ZONE_SUED:Zone Mixing Standard Density Volume Flow Rate [m3/s](TimeStep),ZONE_SUED:Zone Mixing Mass Flow Rate [kg/s](TimeStep),ZONE_SUED:Zone Mixing Sensible Heat Loss Energy [J](TimeStep),ZONE_SUED:Zone Mixing Sensible Heat Gain Energy [J](TimeStep),IDEALLOADS_NORD:Zone Ideal Loads Supply Air Total Heating Rate [W](TimeStep),IDEALLOADS_NORD:Zone Ideal Loads Supply Air Total Cooling Rate [W](TimeStep),IDEALLOADS_SUED:Zone Ideal Loads Supply Air Total Heating Rate [W](TimeStep),IDEALLOADS_SUED:Zone Ideal Loads Supply Air Total Cooling Rate [W](TimeStep) 
 01/15  00:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,17.0,0.0,5.9480600865860795,5.959225762833876,6.737913508162182,3.965373391057386,5.94806,5.959225676085257,6.737913410078185,0.0,0.0,5.94806,5.959225676085257,6.737913410078185,0.0,0.0,410.532570031588,0.0,389.9917404084118,0.0 
 01/15  00:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,17.0,0.0,5.948060086586078,5.959225762833875,6.737913508162181,3.965373391057385,5.94806,5.959225676085257,6.737913410078185,0.0,0.0,5.94806,5.959225676085257,6.737913410078185,0.0,0.0,410.63544794847263,0.0,390.09462578973034,0.0 
 01/15  00:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,17.000000000000004,0.0,5.948060086586078,5.959225762833875,6.737913508162181,3.965373391057385,5.94806,5.959225676085257,6.737913410078185,2.190423909084002e-8,0.0,5.94806,5.959225676085257,6.737913410078185,0.0,2.190423909084002e-8,410.73752454615897,0.0,390.19671274156997,0.0 
 01/15  01:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.000000000000004,16.999999999999993,2.1904239409700647e-8,5.948060086586078,5.959225762833875,6.737913508162181,3.965373391057385,5.94806,5.959225676085257,6.737913410078185,0.0,6.571271727252006e-8,5.94806,5.959225676085257,6.737913410078185,6.571271727252006e-8,0.0,410.838805998559,0.0,390.2980073883083,0.0 
 01/15  01:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,16.999999999999996,0.0,5.9480600865860795,5.959225762833876,6.737913508162182,3.965373391057386,5.94806,5.959225676085257,6.737913410078185,0.0,2.190423909084002e-8,5.94806,5.959225676085257,6.737913410078185,2.190423909084002e-8,0.0,410.93929843435757,0.0,390.3985158078141,0.0 
 01/15  01:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,17.0,0.0,5.948060086586078,5.959225762833875,6.737913508162181,3.965373391057385,5.94806,5.959225676085257,6.737913410078185,0.0,0.0,5.94806,5.959225676085257,6.737913410078185,0.0,0.0,411.039007934218,0.0,390.4982440331952,0.0 
 01/15  01:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,17.0,0.0,5.948060086586078,5.959225762833875,6.737913508162181,3.965373391057385,5.94806,5.959225676085257,6.737913410078185,0.0,0.0,5.94806,5.959225676085257,6.737913410078185,0.0,0.0,411.1379405347981,0.0,390.5971980514588,0.0 
 01/15  02:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,17.000000000000004,0.0,5.948060086586078,5.959225762833875,6.737913508162181,3.965373391057385,5.94806,5.959225676085257,6.737913410078185,2.190423909084002e-8,0.0,5.94806,5.959225676085257,6.737913410078185,0.0,2.190423909084002e-8,411.236102226365,0.0,390.6953838056652,0.0 
 01/15  02:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,17.0,0.0,5.948060086586078,5.959225762833875,6.737913508162181,3.965373391057385,5.94806,5.959225676085257,6.737913410078185,0.0,0.0,5.94806,5.959225676085257,6.737913410078185,0.0,0.0,411.33349895372527,0.0,390.79280719370587,0.0 
 01/15  02:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,17.0,0.0,5.948060086586078,5.959225762833875,6.737913508162181,3.965373391057385,5.94806,5.959225676085257,6.737913410078185,0.0,0.0,5.94806,5.959225676085257,6.737913410078185,0.0,0.0,411.43013661785517,0.0,390.8894740696415,0.0 
 01/15  02:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,17.0,0.0,5.948060086586078,5.959225762833875,6.737913508162181,3.965373391057385,5.94806,5.959225676085257,6.737913410078185,0.0,0.0,5.94806,5.959225676085257,6.737913410078185,0.0,0.0,411.5260210740962,0.0,390.9853902433533,0.0 
 01/15  03:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,17.0,0.0,5.948060086586078,5.959225762833875,6.737913508162181,3.965373391057385,5.94806,5.959225676085257,6.737913410078185,0.0,0.0,5.94806,5.959225676085257,6.737913410078185,0.0,0.0,411.6211581341922,0.0,391.0805614811835,0.0 
 01/15  03:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,17.0,0.0,5.948060086586078,5.959225762833875,6.737913508162181,3.965373391057385,5.94806,5.959225676085257,6.737913410078185,0.0,0.0,5.94806,5.959225676085257,6.737913410078185,0.0,0.0,411.71555356594047,0.0,391.1749935064,0.0 
 01/15  03:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,17.0,0.0,5.948060086586078,5.959225762833875,6.737913508162181,3.965373391057385,5.94806,5.959225676085257,6.737913410078185,0.0,0.0,5.94806,5.959225676085257,6.737913410078185,0.0,0.0,411.80921309342386,0.0,391.26869199908106,0.0 
