Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),ZONE_HALLE:Zone Outdoor Air Drybulb Temperature [C](TimeStep),ZONE_HALLE:Zone Outdoor Air Wind Speed [m/s](TimeStep),ZONE_HALLE:Zone Mean Air Temperature [C](TimeStep),ZONE_HALLE:Zone Ventilation Sensible Heat Loss Energy [J](TimeStep),ZONE_HALLE:Zone Ventilation Current Density Volume Flow Rate [m3/s](TimeStep),ZONE_HALLE:Zone Ventilation Standard Density Volume Flow Rate [m3/s](TimeStep),ZONE_HALLE:Zone Ventilation Mass Flow Rate [kg/s](TimeStep),ZONE_HALLE:Zone Ventilation Current Density Air Change Rate [ach](TimeStep),IDEALLOADS:Zone Ideal Loads Supply Air Total Heating Rate [W](TimeStep),IDEALLOADS:Zone Ideal Loads Supply Air Total Cooling Rate [W](TimeStep) 
 01/15  00:15:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,779.8071217446123,0.0 
 01/15  00:30:00,17.0,5.071965,157.5,17.0,5.071965,17.000000000000004,6.808690219454491e-8,18.488886,18.523593267958503,20.94405788052017,6.162962,780.0155972305221,0.0 
 01/15  00:45:00,17.0,5.071965,157.5,17.0,5.071965,17.000000000000004,6.808690219454491e-8,18.488886,18.523593267958503,20.94405788052017,6.162962,780.2224734063493,0.0 
 01/15  01:00:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,780.4277623945381,0.0 
 01/15  01:15:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,780.6314762267284,0.0 
 01/15  01:30:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,780.8336268458513,0.0 
 01/15  01:45:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,781.0342261070617,0.0 
 01/15  02:00:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,781.2332857766886,0.0 
 01/15  02:15:00,17.0,5.071965,157.5,17.0,5.071965,16.999999999999996,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,781.4308175353801,0.0 
 01/15  02:30:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,781.6268329768211,0.0 
 01/15  02:45:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,781.8213436078514,0.0 
 01/15  03:00:00,17.0,5.071965,157.5,17.0,5.071965,17.000000000000004,6.808690219454491e-8,18.488886,18.523593267958503,20.94405788052017,6.162962,782.014360852074,0.0 
 01/15  03:15:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,782.2058960463621,0.0 
 01/15  03:30:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,782.395960445516,0.0 
 01/15  03:45:00,17.0,5.071965,157.5,17.0,5.071965,17.000000000000004,6.808690219454491e-8,18.488886,18.523593267958503,20.94405788052017,6.162962,782.5845652190039,0.0 
 01/15  04:00:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,782.7717214544539,0.0 
 01/15  04:15:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,782.9574401575377,0.0 
 01/15  04:30:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,783.141732251039,0.0 
 01/15  04:45:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,783.3246085775318,0.0 
 01/15  05:00:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,783.5060798989143,0.0 
 01/15  05:15:00,17.0,5.071965,157.5,17.0,5.071965,16.999999999999996,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,783.6861568968745,0.0 
 01/15  05:30:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,783.8648501739372,0.0 
 01/15  05:45:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,784.0421702526509,0.0 
 01/15  06:00:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,784.2181275794285,0.0 
 01/15  06:15:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,784.3927325210536,0.0 
 01/15  06:30:00,17.0,5.071965,157.5,17.0,5.071965,16.999999999999996,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,784.5659953675929,0.0 
 01/15  06:45:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,784.7379263332116,0.0 
 01/15  07:00:00,17.0,5.071965,157.5,17.0,5.071965,16.999999999999996,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,784.9085355543068,0.0 
 01/15  07:15:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,785.0778330939359,0.0 
 01/15  07:30:00,17.0,5.071965,157.5,17.0,5.071965,17.000000000000004,6.808690219454491e-8,18.488886,18.523593267958503,20.94405788052017,6.162962,785.2458289382049,0.0 
 01/15  07:45:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,785.4125329995297,0.0 
 01/15  08:00:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,785.5779551167506,0.0 
 01/15  08:15:00,17.0,5.071965,157.5,17.0,5.071965,17.000000000000004,6.808690219454491e-8,18.488886,18.523593267958503,20.94405788052017,6.162962,785.7421050542036,0.0 
 01/15  08:30:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,785.9049925043948,0.0 
 01/15  08:45:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,786.0666270869554,0.0 
 01/15  09:00:00,17.0,5.071965,157.5,17.0,5.071965,17.000000000000004,6.808690219454491e-8,18.488886,18.523593267958503,20.94405788052017,6.162962,786.2270183492218,0.0 
 01/15  09:15:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,786.386175767868,0.0 
 01/15  09:30:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,786.544108748902,0.0 
 01/15  09:45:00,17.0,5.071965,157.5,17.0,5.071965,16.999999999999996,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,786.7008266265038,0.0 
 01/15  10:00:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,786.8563386673343,0.0 
 01/15  10:15:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,787.0106540661071,0.0 
 01/15  10:30:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,787.1637819511816,0.0 
 01/15  10:45:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,787.3157313808333,0.0 
 01/15  11:00:00,17.0,5.071965,157.5,17.0,5.071965,17.000000000000004,6.808690219454491e-8,18.488886,18.523593267958503,20.94405788052017,6.162962,787.4665113461671,0.0 
 01/15  11:15:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,787.6161307707662,0.0 
 01/15  11:30:00,17.0,5.071965,157.5,17.0,5.071965,17.000000000000004,6.808690219454491e-8,18.488886,18.523593267958503,20.94405788052017,6.162962,787.7645985118579,0.0 
 01/15  11:45:00,17.0,5.071965,157.5,17.0,5.071965,16.999999999999996,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,787.9119233586828,0.0 
 01/15  12:00:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,788.0581140376157,0.0 
 01/15  12:15:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,788.2031792055352,0.0 
 01/15  12:30:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,788.3471274579645,0.0 
 01/15  12:45:00,17.0,5.071965,157.5,17.0,5.071965,17.000000000000004,6.808690219454491e-8,18.488886,18.523593267958503,20.94405788052017,6.162962,788.4899673239562,0.0 
 01/15  13:00:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,788.6317072687672,0.0 
 01/15  13:15:00,17.0,5.071965,157.5,17.0,5.071965,16.999999999999996,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,788.7723556949059,0.0 
 01/15  13:30:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,788.9119209408526,0.0 
 01/15  13:45:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,789.0504112822239,0.0 
 01/15  14:00:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,789.1878349342153,0.0 
 01/15  14:15:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,789.3242000482279,0.0 
 01/15  14:30:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,789.4595147153598,0.0 
 01/15  14:45:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,789.5937869657066,0.0 
 01/15  15:00:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,789.7270247685957,0.0 
 01/15  15:15:00,17.0,5.071965,157.5,17.0,5.071965,17.000000000000004,6.808690219454491e-8,18.488886,18.523593267958503,20.94405788052017,6.162962,789.8592360342157,0.0 
 01/15  15:30:00,17.0,5.071965,157.5,17.0,5.071965,17.000000000000004,6.808690219454491e-8,18.488886,18.523593267958503,20.94405788052017,6.162962,789.9904286123348,0.0 
 01/15  15:45:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,790.1206102940487,0.0 
 01/15  16:00:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,790.2497888121289,0.0 
 01/15  16:15:00,17.0,5.071965,157.5,17.0,5.071965,17.000000000000007,1.3617380438908981e-7,18.488886,18.523593267958503,20.94405788052017,6.162962,790.3779718400913,0.0 
 01/15  16:30:00,17.0,5.071965,157.5,17.0,5.071965,16.999999999999996,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,790.505166993942,0.0 
 01/15  16:45:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,790.6313818340425,0.0 
 01/15  17:00:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,790.7566238603324,0.0 
 01/15  17:15:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,790.8809005197838,0.0 
 01/15  17:30:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,791.0042192004623,0.0 
 01/15  17:45:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,791.1265872365332,0.0 
 01/15  18:00:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,791.2480119053508,0.0 
 01/15  18:15:00,17.0,5.071965,157.5,17.0,5.071965,17.000000000000004,6.808690219454491e-8,18.488886,18.523593267958503,20.94405788052017,6.162962,791.3685004307192,0.0 
 01/15  18:30:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,791.4880599809114,0.0 
 01/15  18:45:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,791.6066976708828,0.0 
 01/15  19:00:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,791.7244205606405,0.0 
 01/15  19:15:00,17.0,5.071965,157.5,17.0,5.071965,16.999999999999996,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,791.8412356582703,0.0 
 01/15  19:30:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,791.9571499181914,0.0 
 01/15  19:45:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,792.072170241736,0.0 
 01/15  20:00:00,17.0,5.071965,157.5,17.0,5.071965,16.999999999999996,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,792.186303479248,0.0 
 01/15  20:15:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,792.299556428916,0.0 
 01/15  20:30:00,17.0,5.071965,157.5,17.0,5.071965,16.999999999999996,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,792.411935836077,0.0 
 01/15  20:45:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,792.523448397755,0.0 
 01/15  21:00:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,792.6341007575395,0.0 
 01/15  21:15:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488886,18.523593267958503,20.94405788052017,6.162962,792.7438995109408,0.0 
