Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),ZONE_SUED:Zone Outdoor Air Drybulb Temperature [C](TimeStep),ZONE_SUED:Zone Outdoor Air Wind Speed [m/s](TimeStep),ZONE_NORD:Zone Outdoor Air Drybulb Temperature [C](TimeStep),ZONE_NORD:Zone Outdoor Air Wind Speed [m/s](TimeStep),ZONE_SUED:Zone Mean Air Temperature [C](TimeStep),ZONE_NORD:Zone Mean Air Temperature [C](TimeStep),ZONE_SUED:Zone Ventilation Sensible Heat Loss Energy [J](TimeStep),ZONE_SUED:Zone Ventilation Current Density Volume Flow Rate [m3/s](TimeStep),ZONE_SUED:Zone Ventilation Standard Density Volume Flow Rate [m3/s](TimeStep),ZONE_SUED:Zone Ventilation Mass Flow Rate [kg/s](TimeStep),ZONE_SUED:Zone Ventilation Current Density Air Change Rate [ach](TimeStep),ZONE_NORD:Zone Mixing Current Density Volume Flow Rate [m3/s](TimeStep),ZONE_NORD:Zone Mixing Standard Density Volume Flow Rate [m3/s](TimeStep),ZONE_NORD:Zone Mixing Mass Flow Rate [kg/s](TimeStep),ZONE_NORD:Zone Mixing Sensible Heat Loss Energy [J](TimeStep),ZONE_NORD:Zone Mixing Sensible Heat Gain Energy [J](TimeStep),ZONE_SUED:Zone Mixing Current Density Volume Flow Rate [m3/s](TimeStep),ZONE_SUED:Zone Mixing Standard Density Volume Flow Rate [m3/s](TimeStep),ZONE_SUED:Zone Mixing Mass Flow Rate [kg/s](TimeStep),ZONE_SUED:Zone Mixing Sensible Heat Loss Energy [J](TimeStep),ZONE_SUED:Zone Mixing Sensible Heat Gain Energy [J](TimeStep),IDEALLOADS_NORD:Zone Ideal Loads Supply Air Total Heating Rate [W](TimeStep),IDEALLOADS_NORD:Zone Ideal Loads Supply Air Total Cooling Rate [W](TimeStep),IDEALLOADS_SUED:Zone Ideal Loads Supply Air Total Heating Rate [W](TimeStep),IDEALLOADS_SUED:Zone Ideal Loads Supply Air Total Cooling Rate [W](TimeStep) 
 01/15  00:15:00,17.0,5.071965,157.5,17.0,5.071965,17.0,5.071965,17.000000000000004,17.000000000000004,6.660478676700484e-8,18.08642,18.12037176028183,20.488147708379923,12.057613333333332,18.08642,18.120371760281827,20.488147708379923,0.0,0.0,18.08642,18.120371760281827,20.488147708379923,0.0,0.0,410.5325700317045,0.0,389.99174040847,0.0 
 01/15  00:30:00,17.0,5.071965,157.5,17.0,5.071965,17.0,5.071965,17.0,17.0,0.0,18.08642,18.12037176028183,20.488147708379923,12.057613333333332,18.08642,18.120371760281827,20.488147708379923,0.0,0.0,18.08642,18.120371760281827,20.488147708379923,0.0,0.0,410.63544794835605,0.0,390.09462578955583,0.0 
 01/15  00:45:00,17.0,5.071965,157.5,17.0,5.071965,17.0,5.071965,17.000000000000004,17.0,6.660478676700484e-8,18.08642,18.12037176028183,20.488147708379923,12.057613333333332,18.08642,18.120371760281827,20.488147708379923,0.0,6.660478676700484e-8,18.08642,18.120371760281827,20.488147708379923,6.660478676700484e-8,0.0,410.7375245462173,0.0,390.19671274162823,0.0 
 01/15  01:00:00,17.0,5.071965,157.5,17.0,5.071965,17.0,5.071965,17.0,17.0,0.0,18.08642,18.12037176028183,20.488147708379923,12.057613333333332,18.08642,18.120371760281827,20.488147708379923,0.0,0.0,18.08642,18.120371760281827,20.488147708379923,0.0,0.0,410.83880599867547,0.0,390.2980073881337,0.0 
 01/15  01:15:00,17.0,5.071965,157.5,17.0,5.071965,17.0,5.071965,17.000000000000004,17.0,6.660478676700484e-8,18.08642,18.12037176028183,20.488147708379923,12.057613333333332,18.08642,18.120371760281827,20.488147708379923,0.0,6.660478676700484e-8,18.08642,18.120371760281827,20.488147708379923,6.660478676700484e-8,0.0,410.9392984341831,0.0,390.3985158079303,0.0 
 01/15  01:30:00,17.0,5.071965,157.5,17.0,5.071965,17.0,5.071965,17.0,17.0,0.0,18.08642,18.12037176028183,20.488147708379923,12.057613333333332,18.08642,18.120371760281827,20.488147708379923,0.0,0.0,18.08642,18.120371760281827,20.488147708379923,0.0,0.0,411.0390079340433,0.0,390.49824403284583,0.0 
 01/15  01:45:00,17.0,5.071965,157.5,17.0,5.071965,17.0,5.071965,17.0,16.999999999999996,0.0,18.08642,18.12037176028183,20.488147708379923,12.057613333333332,18.08642,18.120371760281827,20.488147708379923,0.0,6.660478676700484e-8,18.08642,18.120371760281827,20.488147708379923,6.660478676700484e-8,0.0,411.1379405348561,0.0,390.5971980515168,0.0 
 01/15  02:00:00,17.0,5.071965,157.5,17.0,5.071965,17.0,5.071965,17.0,16.999999999999996,0.0,18.08642,18.12037176028183,20.488147708379923,12.057613333333332,18.08642,18.120371760281827,20.488147708379923,0.0,6.660478676700484e-8,18.08642,18.120371760281827,20.488147708379923,6.660478676700484e-8,0.0,411.2361022261904,0.0,390.6953838055488,0.0 
 01/15  02:15:00,17.0,5.071965,157.5,17.0,5.071965,17.0,5.071965,17.0,17.000000000000004,0.0,18.08642,18.12037176028183,20.488147708379923,12.057613333333332,18.08642,18.120371760281827,20.488147708379923,6.660478676700484e-8,0.0,18.08642,18.120371760281827,20.488147708379923,0.0,6.660478676700484e-8,411.33349895384174,0.0,390.792807193706,0.0 
 01/15  02:30:00,17.0,5.071965,157.5,17.0,5.071965,17.0,5.071965,17.0,16.999999999999996,0.0,18.08642,18.12037176028183,20.488147708379923,12.057613333333332,18.08642,18.120371760281827,20.488147708379923,0.0,6.660478676700484e-8,18.08642,18.120371760281827,20.488147708379923,6.660478676700484e-8,0.0,411.43013661738956,0.0,390.88947406958323,0.0 
