Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),ZONE_SUED:Zone Outdoor Air Drybulb Temperature [C](TimeStep),ZONE_SUED:Zone Outdoor Air Wind Speed [m/s](TimeStep),ZONE_NORD:Zone Outdoor Air Drybulb Temperature [C](TimeStep),ZONE_NORD:Zone Outdoor Air Wind Speed [m/s](TimeStep),ZONE_SUED:Zone Mean Air Temperature [C](TimeStep),ZONE_NORD:Zone Mean Air Temperature [C](TimeStep),ZONE_SUED:Zone Ventilation Sensible Heat Loss Energy [J](TimeStep),ZONE_SUED:Zone Ventilation Current Density Volume Flow Rate [m3/s](TimeStep),ZONE_SUED:Zone Ventilation Standard Density Volume Flow Rate [m3/s](TimeStep),ZONE_SUED:Zone Ventilation Mass Flow Rate [kg/s](TimeStep),ZONE_SUED:Zone Ventilation Current Density Air Change Rate [ach](TimeStep),ZONE_NORD:Zone Mixing Current Density Volume Flow Rate [m3/s](TimeStep),ZONE_NORD:Zone Mixing Standard Density Volume Flow Rate [m3/s](TimeStep),ZONE_NORD:Zone Mixing Mass Flow Rate [kg/s](TimeStep),ZONE_NORD:Zone Mixing Sensible Heat Loss Energy [J](TimeStep),ZONE_NORD:Zone Mixing Sensible Heat Gain Energy [J](TimeStep),ZONE_SUED:Zone Mixing Current Density Volume Flow Rate [m3/s](TimeStep),ZONE_SUED:Zone Mixing Standard Density Volume Flow Rate [m3/s](TimeStep),ZONE_SUED:Zone Mixing Mass Flow Rate [kg/s](TimeStep),ZONE_SUED:Zone Mixing Sensible Heat Loss Energy [J](TimeStep),ZONE_SUED:Zone Mixing Sensible Heat Gain Energy [J](TimeStep),IDEALLOADS_NORD:Zone Ideal Loads Supply Air Total Heating Rate [W](TimeStep),IDEALLOADS_NORD:Zone Ideal Loads Supply Air Total Cooling Rate [W](TimeStep),IDEALLOADS_SUED:Zone Ideal Loads Supply Air Total Heating Rate [W](TimeStep),IDEALLOADS_SUED:Zone Ideal Loads Supply Air Total Cooling Rate [W](TimeStep) 
 01/15  00:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,17.000000000000004,0.0,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,2.7588604308379665e-8,0.0,7.49164,7.505703278713961,8.486468129016542,0.0,2.7588604308379665e-8,410.5325700317045,0.0,389.9917404083534,0.0 
 01/15  00:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,17.0,0.0,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,0.0,0.0,7.49164,7.505703278713961,8.486468129016542,0.0,0.0,410.6354479485891,0.0,390.09462578955583,0.0 
 01/15  00:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,16.999999999999996,17.0,0.0,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,2.7588604308379665e-8,0.0,7.49164,7.505703278713961,8.486468129016542,0.0,2.7588604308379665e-8,410.73752454633353,0.0,390.19671274151193,0.0 
 01/15  01:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,16.999999999999996,16.999999999999996,0.0,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,0.0,0.0,7.49164,7.505703278713961,8.486468129016542,0.0,0.0,410.8388059988501,0.0,390.2980073882501,0.0 
 01/15  01:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,17.000000000000004,0.0,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,2.7588604308379665e-8,0.0,7.49164,7.505703278713961,8.486468129016542,0.0,2.7588604308379665e-8,410.93929843453225,0.0,390.3985158079304,0.0 
 01/15  01:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,16.999999999999996,17.0,0.0,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,2.7588604308379665e-8,0.0,7.49164,7.505703278713961,8.486468129016542,0.0,2.7588604308379665e-8,411.0390079343341,0.0,390.4982440329622,0.0 
 01/15  01:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,16.999999999999996,16.999999999999996,0.0,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,0.0,0.0,7.49164,7.505703278713961,8.486468129016542,0.0,0.0,411.1379405350891,0.0,390.5971980515167,0.0 
 01/15  02:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,16.999999999999996,0.0,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,0.0,2.7588604308379665e-8,7.49164,7.505703278713961,8.486468129016542,2.7588604308379665e-8,0.0,411.23610222659784,0.0,390.6953838057817,0.0 
 01/15  02:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.000000000000004,17.000000000000004,2.7588608336719794e-8,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,0.0,0.0,7.49164,7.505703278713961,8.486468129016542,0.0,0.0,411.3334989541328,0.0,390.7928071938222,0.0 
 01/15  02:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,16.999999999999996,17.0,0.0,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,2.7588604308379665e-8,0.0,7.49164,7.505703278713961,8.486468129016542,0.0,2.7588604308379665e-8,411.43013661785517,0.0,390.88947406946687,0.0 
 01/15  02:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,16.999999999999996,0.0,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,0.0,2.7588604308379665e-8,7.49164,7.505703278713961,8.486468129016542,2.7588604308379665e-8,0.0,411.52602107438736,0.0,390.98539024358627,0.0 
 01/15  03:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,16.999999999999996,17.0,0.0,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,2.7588604308379665e-8,0.0,7.49164,7.505703278713961,8.486468129016542,0.0,2.7588604308379665e-8,411.6211581344833,0.0,391.0805614811834,0.0 
 01/15  03:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,17.0,0.0,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,0.0,0.0,7.49164,7.505703278713961,8.486468129016542,0.0,0.0,411.7155535661149,0.0,391.17499350663286,0.0 
 01/15  03:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,16.999999999999996,17.0,0.0,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,2.7588604308379665e-8,0.0,7.49164,7.505703278713961,8.486468129016542,0.0,2.7588604308379665e-8,411.8092130937149,0.0,391.2686919991392,0.0 
 01/15  03:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,16.999999999999996,0.0,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,0.0,2.7588604308379665e-8,7.49164,7.505703278713961,8.486468129016542,2.7588604308379665e-8,0.0,411.9021423978847,0.0,391.3616625969298,0.0 
 01/15  04:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,16.999999999999996,17.0,0.0,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,2.7588604308379665e-8,0.0,7.49164,7.505703278713961,8.486468129016542,0.0,2.7588604308379665e-8,411.9943471168517,0.0,391.45391089445906,0.0 
 01/15  04:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,17.0,0.0,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,0.0,0.0,7.49164,7.505703278713961,8.486468129016542,0.0,0.0,412.0858328454778,0.0,391.5454424453201,0.0 
 01/15  04:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.000000000000004,16.999999999999993,2.7588608336719794e-8,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,0.0,8.276581292513899e-8,7.49164,7.505703278713961,8.486468129016542,8.276581292513899e-8,0.0,412.1766051371814,0.0,391.63626276038116,0.0 
 01/15  04:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,17.0,0.0,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,0.0,0.0,7.49164,7.505703278713961,8.486468129016542,0.0,0.0,412.2666695029474,0.0,391.72637730976567,0.0 
 01/15  05:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,17.0,0.0,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,0.0,0.0,7.49164,7.505703278713961,8.486468129016542,0.0,0.0,412.356031411502,0.0,391.8157915220364,0.0 
 01/15  05:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,17.0,0.0,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,0.0,0.0,7.49164,7.505703278713961,8.486468129016542,0.0,0.0,412.4446962912333,0.0,391.90451078466145,0.0 
 01/15  05:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.000000000000004,17.0,2.7588608336719794e-8,7.491641093889119,7.505704374656524,8.486469368165132,4.994427395926079,7.49164,7.505703278713961,8.486468129016542,0.0,2.7588604308379665e-8,7.49164,7.505703278713961,8.486468129016542,2.7588604308379665e-8,0.0,412.53266952862043,0.0,391.9925404455281,0.0 
