Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),ZONE_HALLE:Zone Outdoor Air Drybulb Temperature [C](TimeStep),ZONE_HALLE:Zone Outdoor Air Wind Speed [m/s](TimeStep),ZONE_HALLE:Zone Mean Air Temperature [C](TimeStep),ZONE_HALLE:Zone Ventilation Sensible Heat Loss Energy [J](TimeStep),ZONE_HALLE:Zone Ventilation Current Density Volume Flow Rate [m3/s](TimeStep),ZONE_HALLE:Zone Ventilation Standard Density Volume Flow Rate [m3/s](TimeStep),ZONE_HALLE:Zone Ventilation Mass Flow Rate [kg/s](TimeStep),ZONE_HALLE:Zone Ventilation Current Density Air Change Rate [ach](TimeStep),IDEALLOADS:Zone Ideal Loads Supply Air Total Heating Rate [W](TimeStep),IDEALLOADS:Zone Ideal Loads Supply Air Total Cooling Rate [W](TimeStep) 
 01/15  00:15:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,779.8071217456601,0.0 
 01/15  00:30:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,780.0155972312207,0.0 
 01/15  00:45:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,780.2224734072807,0.0 
 01/15  01:00:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,780.427762395353,0.0 
 01/15  01:15:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,780.6314762274269,0.0 
 01/15  01:30:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,780.8336268466664,0.0 
 01/15  01:45:00,17.0,5.071965,157.5,17.0,5.071965,16.999999999999996,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,781.034226107644,0.0 
 01/15  02:00:00,17.0,5.071965,157.5,17.0,5.071965,17.000000000000004,6.808690859028722e-8,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,781.2332857777366,0.0 
 01/15  02:15:00,17.0,5.071965,157.5,17.0,5.071965,17.000000000000004,6.808690859028722e-8,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,781.430817535962,0.0 
 01/15  02:30:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,781.6268329771702,0.0 
 01/15  02:45:00,17.0,5.071965,157.5,17.0,5.071965,17.000000000000004,6.808690859028722e-8,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,781.8213436088992,0.0 
 01/15  03:00:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,782.0143608525395,0.0 
 01/15  03:15:00,17.0,5.071965,157.5,17.0,5.071965,16.999999999999996,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,782.2058960474099,0.0 
 01/15  03:30:00,17.0,5.071965,157.5,17.0,5.071965,17.000000000000004,6.808690859028722e-8,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,782.3959604463308,0.0 
 01/15  03:45:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,782.5845652193532,0.0 
 01/15  04:00:00,17.0,5.071965,157.5,17.0,5.071965,16.999999999999996,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,782.7717214552688,0.0 
 01/15  04:15:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,782.9574401582361,0.0 
 01/15  04:30:00,17.0,5.071965,157.5,17.0,5.071965,16.999999999999996,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,783.1417322515044,0.0 
 01/15  04:45:00,17.0,5.071965,157.5,17.0,5.071965,17.000000000000004,6.808690859028722e-8,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,783.3246085784633,0.0 
 01/15  05:00:00,17.0,5.071965,157.5,17.0,5.071965,16.999999999999996,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,783.5060798991474,0.0 
 01/15  05:15:00,17.0,5.071965,157.5,17.0,5.071965,17.000000000000004,6.808690859028722e-8,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,783.6861568978059,0.0 
 01/15  05:30:00,17.0,5.071965,157.5,17.0,5.071965,17.000000000000007,1.3617381718057444e-7,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,783.8648501740537,0.0 
 01/15  05:45:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,784.0421702531168,0.0 
 01/15  06:00:00,17.0,5.071965,157.5,17.0,5.071965,17.000000000000004,6.808690859028722e-8,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,784.2181275801265,0.0 
 01/15  06:15:00,17.0,5.071965,157.5,17.0,5.071965,16.999999999999996,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,784.3927325212863,0.0 
 01/15  06:30:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,784.5659953684083,0.0 
 01/15  06:45:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,784.7379263332116,0.0 
 01/15  07:00:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,784.9085355548887,0.0 
 01/15  07:15:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,785.0778330944012,0.0 
 01/15  07:30:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,785.2458289385542,0.0 
 01/15  07:45:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,785.4125329999952,0.0 
 01/15  08:00:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,785.5779551171,0.0 
 01/15  08:15:00,17.0,5.071965,157.5,17.0,5.071965,17.000000000000004,6.808690859028722e-8,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,785.7421050547855,0.0 
 01/15  08:30:00,17.0,5.071965,157.5,17.0,5.071965,17.000000000000004,6.808690859028722e-8,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,785.9049925047437,0.0 
 01/15  08:45:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,786.0666270869551,0.0 
 01/15  09:00:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,786.2270183495714,0.0 
 01/15  09:15:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,786.3861757682171,0.0 
 01/15  09:30:00,17.0,5.071965,157.5,17.0,5.071965,16.999999999999996,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,786.544108749018,0.0 
 01/15  09:45:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,786.700826627086,0.0 
 01/15  10:00:00,17.0,5.071965,157.5,17.0,5.071965,17.000000000000004,6.808690859028722e-8,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,786.8563386672176,0.0 
 01/15  10:15:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,787.0106540662239,0.0 
 01/15  10:30:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,787.163781951531,0.0 
 01/15  10:45:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,787.31573138095,0.0 
 01/15  11:00:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,787.4665113461672,0.0 
 01/15  11:15:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,787.6161307709992,0.0 
 01/15  11:30:00,17.0,5.071965,157.5,17.0,5.071965,17.000000000000004,6.808690859028722e-8,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,787.764598511858,0.0 
 01/15  11:45:00,17.0,5.071965,157.5,17.0,5.071965,16.999999999999996,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,787.9119233590317,0.0 
 01/15  12:00:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,788.0581140377327,0.0 
 01/15  12:15:00,17.0,5.071965,157.5,17.0,5.071965,16.999999999999996,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,788.203179205535,0.0 
 01/15  12:30:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,788.3471274583137,0.0 
 01/15  12:45:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,788.4899673238398,0.0 
 01/15  13:00:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,788.6317072689999,0.0 
 01/15  13:15:00,17.0,5.071965,157.5,17.0,5.071965,17.000000000000004,6.808690859028722e-8,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,788.7723556949061,0.0 
 01/15  13:30:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,788.9119209403871,0.0 
 01/15  13:45:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,789.0504112825728,0.0 
 01/15  14:00:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,789.1878349342153,0.0 
 01/15  14:15:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,789.324200048228,0.0 
 01/15  14:30:00,17.0,5.071965,157.5,17.0,5.071965,16.999999999999996,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,789.4595147152431,0.0 
 01/15  14:45:00,17.0,5.071965,157.5,17.0,5.071965,16.999999999999996,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,789.5937869655902,0.0 
 01/15  15:00:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,789.7270247687121,0.0 
 01/15  15:15:00,17.0,5.071965,157.5,17.0,5.071965,17.000000000000004,6.808690859028722e-8,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,789.8592360339828,0.0 
 01/15  15:30:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,789.9904286121018,0.0 
 01/15  15:45:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,790.1206102941651,0.0 
 01/15  16:00:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,790.2497888117796,0.0 
 01/15  16:15:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,790.377971839742,0.0 
 01/15  16:30:00,17.0,5.071965,157.5,17.0,5.071965,16.999999999999996,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,790.505166993942,0.0 
 01/15  16:45:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,790.6313818336931,0.0 
 01/15  17:00:00,17.0,5.071965,157.5,17.0,5.071965,17.0,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,790.7566238600995,0.0 
 01/15  17:15:00,17.0,5.071965,157.5,17.0,5.071965,16.999999999999996,0.0,18.488887736753277,18.523595007972006,20.944059847899986,6.1629625789177584,790.8809005193182,0.0 
