Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),ZONE_SUED:Zone Outdoor Air Drybulb Temperature [C](TimeStep),ZONE_SUED:Zone Outdoor Air Wind Speed [m/s](TimeStep),ZONE_NORD:Zone Outdoor Air Drybulb Temperature [C](TimeStep),ZONE_NORD:Zone Outdoor Air Wind Speed [m/s](TimeStep),ZONE_SUED:Zone Mean Air Temperature [C](TimeStep),ZONE_NORD:Zone Mean Air Temperature [C](TimeStep),ZONE_SUED:Zone Ventilation Sensible Heat Loss Energy [J](TimeStep),ZONE_SUED:Zone Ventilation Current Density Volume Flow Rate [m3/s](TimeStep),ZONE_SUED:Zone Ventilation Standard Density Volume Flow Rate [m3/s](TimeStep),ZONE_SUED:Zone Ventilation Mass Flow Rate [kg/s](TimeStep),ZONE_SUED:Zone Ventilation Current Density Air Change Rate [ach](TimeStep),ZONE_NORD:Zone Ventilation Sensible Heat Loss Energy [J](TimeStep),ZONE_NORD:Zone Ventilation Current Density Volume Flow Rate [m3/s](TimeStep),ZONE_NORD:Zone Ventilation Standard Density Volume Flow Rate [m3/s](TimeStep),ZONE_NORD:Zone Ventilation Mass Flow Rate [kg/s](TimeStep),ZONE_NORD:Zone Ventilation Current Density Air Change Rate [ach](TimeStep),ZONE_NORD:Zone Mixing Current Density Volume Flow Rate [m3/s](TimeStep),ZONE_NORD:Zone Mixing Standard Density Volume Flow Rate [m3/s](TimeStep),ZONE_NORD:Zone Mixing Mass Flow Rate [kg/s](TimeStep),ZONE_NORD:Zone Mixing Sensible Heat Loss Energy [J](TimeStep),ZONE_NORD:Zone Mixing Sensible Heat Gain Energy [J](TimeStep),ZONE_SUED:Zone Mixing Current Density Volume Flow Rate [m3/s](TimeStep),ZONE_SUED:Zone Mixing Standard Density Volume Flow Rate [m3/s](TimeStep),ZONE_SUED:Zone Mixing Mass Flow Rate [kg/s](TimeStep),ZONE_SUED:Zone Mixing Sensible Heat Loss Energy [J](TimeStep),ZONE_SUED:Zone Mixing Sensible Heat Gain Energy [J](TimeStep),IDEALLOADS_NORD:Zone Ideal Loads Supply Air Total Heating Rate [W](TimeStep),IDEALLOADS_NORD:Zone Ideal Loads Supply Air Total Cooling Rate [W](TimeStep),IDEALLOADS_SUED:Zone Ideal Loads Supply Air Total Heating Rate [W](TimeStep),IDEALLOADS_SUED:Zone Ideal Loads Supply Air Total Cooling Rate [W](TimeStep) 
 01/15  00:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,5.32556325,0.0,0.0,0.0,0.0,0.0,7.988344,8.003339689613354,9.049130331892684,0.0,0.0,7.988344,8.003339689613354,9.049130331892684,0.0,0.0,410.5325700315299,0.0,389.99174040823726,0.0 
 01/15  00:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.000000000000004,17.0,2.9417762443903815e-8,7.988344875,8.003340566255902,9.049131323085483,5.32556325,0.0,0.0,0.0,0.0,0.0,7.988344,8.003339689613354,9.049130331892684,0.0,2.9417759221641565e-8,7.988344,8.003339689613354,9.049130331892684,2.9417759221641565e-8,0.0,410.6354479483562,0.0,390.0946257895557,0.0 
 01/15  00:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,16.999999999999996,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,5.32556325,0.0,0.0,0.0,0.0,0.0,7.988344,8.003339689613354,9.049130331892684,2.9417759221641565e-8,0.0,7.988344,8.003339689613354,9.049130331892684,0.0,2.9417759221641565e-8,410.73752454592625,0.0,390.19671274127904,0.0 
 01/15  01:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,16.999999999999996,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,5.32556325,0.0,0.0,0.0,0.0,0.0,7.988344,8.003339689613354,9.049130331892684,2.9417759221641565e-8,0.0,7.988344,8.003339689613354,9.049130331892684,0.0,2.9417759221641565e-8,410.83880599855917,0.0,390.2980073881337,0.0 
 01/15  01:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.000000000000004,17.0,2.9417762443903815e-8,7.988344875,8.003340566255902,9.049131323085483,5.32556325,0.0,0.0,0.0,0.0,0.0,7.988344,8.003339689613354,9.049130331892684,0.0,2.9417759221641565e-8,7.988344,8.003339689613354,9.049130331892684,2.9417759221641565e-8,0.0,410.9392984341249,0.0,390.39851580769766,0.0 
 01/15  01:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,17.000000000000004,0.0,7.988344875,8.003340566255902,9.049131323085483,5.32556325,0.0,0.0,0.0,0.0,0.0,7.988344,8.003339689613354,9.049130331892684,2.9417759221641565e-8,0.0,7.988344,8.003339689613354,9.049130331892684,0.0,2.9417759221641565e-8,411.0390079341597,0.0,390.4982440327295,0.0 
 01/15  01:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,5.32556325,0.0,0.0,0.0,0.0,0.0,7.988344,8.003339689613354,9.049130331892684,0.0,0.0,7.988344,8.003339689613354,9.049130331892684,0.0,0.0,411.13794053462345,0.0,390.5971980514005,0.0 
 01/15  02:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,16.999999999999996,0.0,7.988344875,8.003340566255902,9.049131323085483,5.32556325,0.0,0.0,0.0,0.0,0.0,7.988344,8.003339689613354,9.049130331892684,0.0,2.9417759221641565e-8,7.988344,8.003339689613354,9.049130331892684,2.9417759221641565e-8,0.0,411.2361022261904,0.0,390.69538380543236,0.0 
 01/15  02:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,17.000000000000004,0.0,7.988344875,8.003340566255902,9.049131323085483,5.32556325,0.0,0.0,0.0,0.0,0.0,7.988344,8.003339689613354,9.049130331892684,2.9417759221641565e-8,0.0,7.988344,8.003339689613354,9.049130331892684,0.0,2.9417759221641565e-8,411.33349895384174,0.0,390.792807193706,0.0 
 01/15  02:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,5.071965,17.0,17.000000000000004,0.0,7.988344875,8.003340566255902,9.049131323085483,5.32556325,0.0,0.0,0.0,0.0,0.0,7.988344,8.003339689613354,9.049130331892684,2.9417759221641565e-8,0.0,7.988344,8.003339689613354,9.049130331892684,0.0,2.9417759221641565e-8,411.4301366175642,0.0,390.889474069467,0.0 
