Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),ZONE_HALLE:Zone Outdoor Air Drybulb Temperature [C](TimeStep),ZONE_HALLE:Zone Outdoor Air Wind Speed [m/s](TimeStep),ZONE_HALLE:Zone Mean Air Temperature [C](TimeStep),ZONE_HALLE:Zone Ventilation Sensible Heat Loss Energy [J](TimeStep),ZONE_HALLE:Zone Ventilation Current Density Volume Flow Rate [m3/s](TimeStep),ZONE_HALLE:Zone Ventilation Standard Density Volume Flow Rate [m3/s](TimeStep),ZONE_HALLE:Zone Ventilation Mass Flow Rate [kg/s](TimeStep),ZONE_HALLE:Zone Ventilation Current Density Air Change Rate [ach](TimeStep),IDEALLOADS:Zone Ideal Loads Supply Air Total Heating Rate [W](TimeStep),IDEALLOADS:Zone Ideal Loads Supply Air Total Cooling Rate [W](TimeStep) 
 01/15  00:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,779.8071217462423,0.0 
 01/15  00:30:00,17.0,5.071965,247.5,17.0,5.071965,17.000000000000004,2.9417762443903815e-8,7.988344875,8.003340566255902,9.049131323085483,2.662781625,780.0155972316863,0.0 
 01/15  00:45:00,17.0,5.071965,247.5,17.0,5.071965,17.000000000000004,2.9417762443903815e-8,7.988344875,8.003340566255902,9.049131323085483,2.662781625,780.22247340763,0.0 
 01/15  01:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,780.4277623958185,0.0 
 01/15  01:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,780.6314762281254,0.0 
 01/15  01:30:00,17.0,5.071965,247.5,17.0,5.071965,17.000000000000004,2.9417762443903815e-8,7.988344875,8.003340566255902,9.049131323085483,2.662781625,780.8336268472488,0.0 
 01/15  01:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,781.0342261081099,0.0 
 01/15  02:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,781.2332857780859,0.0 
 01/15  02:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,781.4308175366604,0.0 
 01/15  02:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,781.6268329778688,0.0 
 01/15  02:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,781.8213436092485,0.0 
 01/15  03:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,782.0143608533544,0.0 
 01/15  03:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,782.2058960477588,0.0 
 01/15  03:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,782.3959604466799,0.0 
 01/15  03:45:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,782.5845652199353,0.0 
 01/15  04:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,782.7717214558509,0.0 
 01/15  04:15:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,782.9574401583525,0.0 
 01/15  04:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,783.1417322523196,0.0 
 01/15  04:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,783.3246085785797,0.0 
 01/15  05:00:00,17.0,5.071965,247.5,17.0,5.071965,17.000000000000007,5.883552488780763e-8,7.988344875,8.003340566255902,9.049131323085483,2.662781625,783.5060799003114,0.0 
 01/15  05:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,783.6861568978054,0.0 
 01/15  05:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,783.8648501751013,0.0 
 01/15  05:45:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,784.0421702539315,0.0 
 01/15  06:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,784.2181275808254,0.0 
 01/15  06:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,784.3927325221013,0.0 
 01/15  06:30:00,17.0,5.071965,247.5,17.0,5.071965,17.000000000000004,2.9417762443903815e-8,7.988344875,8.003340566255902,9.049131323085483,2.662781625,784.5659953689901,0.0 
 01/15  06:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,784.7379263341428,0.0 
 01/15  07:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,784.90853555582,0.0 
 01/15  07:15:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,785.0778330950998,0.0 
 01/15  07:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,785.2458289397183,0.0 
 01/15  07:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,785.4125330008101,0.0 
 01/15  08:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,785.5779551180315,0.0 
 01/15  08:15:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,785.7421050556005,0.0 
 01/15  08:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,785.9049925059081,0.0 
 01/15  08:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,786.0666270880029,0.0 
 01/15  09:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,786.2270183505026,0.0 
 01/15  09:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,786.386175769265,0.0 
 01/15  09:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,786.5441087499493,0.0 
 01/15  09:45:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,786.7008266277846,0.0 
 01/15  10:00:00,17.0,5.071965,247.5,17.0,5.071965,17.000000000000004,2.9417762443903815e-8,7.988344875,8.003340566255902,9.049131323085483,2.662781625,786.8563386684982,0.0 
 01/15  10:15:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,787.0106540670388,0.0 
 01/15  10:30:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,787.1637819525787,0.0 
 01/15  10:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,787.3157313819977,0.0 
 01/15  11:00:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,787.4665113469821,0.0 
 01/15  11:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,787.6161307721633,0.0 
 01/15  11:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,787.764598512673,0.0 
 01/15  11:45:00,17.0,5.071965,247.5,17.0,5.071965,17.000000000000004,2.9417762443903815e-8,7.988344875,8.003340566255902,9.049131323085483,2.662781625,787.9119233601962,0.0 
 01/15  12:00:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,788.0581140381983,0.0 
 01/15  12:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,788.2031792070486,0.0 
 01/15  12:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,788.3471274587791,0.0 
 01/15  12:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,788.4899673248874,0.0 
 01/15  13:00:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,788.631707269815,0.0 
 01/15  13:15:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,788.7723556959536,0.0 
 01/15  13:30:00,17.0,5.071965,247.5,17.0,5.071965,17.000000000000004,2.9417762443903815e-8,7.988344875,8.003340566255902,9.049131323085483,2.662781625,788.911920941784,0.0 
 01/15  13:45:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,789.0504112830384,0.0 
 01/15  14:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,789.1878349354959,0.0 
 01/15  14:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,789.3242000489263,0.0 
 01/15  14:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,789.4595147162909,0.0 
 01/15  14:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,789.593786966405,0.0 
 01/15  15:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,789.7270247695271,0.0 
 01/15  15:15:00,17.0,5.071965,247.5,17.0,5.071965,17.000000000000004,2.9417762443903815e-8,7.988344875,8.003340566255902,9.049131323085483,2.662781625,789.8592360351469,0.0 
 01/15  15:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,789.990428613033,0.0 
 01/15  15:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,790.1206102950965,0.0 
 01/15  16:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,790.2497888127109,0.0 
 01/15  16:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,790.377971840673,0.0 
 01/15  16:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,790.5051669949898,0.0 
 01/15  16:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,790.6313818345079,0.0 
 01/15  17:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,790.7566238611471,0.0 
 01/15  17:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,790.8809005203657,0.0 
 01/15  17:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,791.0042192010442,0.0 
 01/15  17:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,791.1265872368822,0.0 
 01/15  18:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,791.2480119058164,0.0 
 01/15  18:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,791.3685004311848,0.0 
 01/15  18:30:00,17.0,5.071965,247.5,17.0,5.071965,17.000000000000004,2.9417762443903815e-8,7.988344875,8.003340566255902,9.049131323085483,2.662781625,791.4880599814933,0.0 
 01/15  18:45:00,17.0,5.071965,247.5,17.0,5.071965,17.000000000000004,2.9417762443903815e-8,7.988344875,8.003340566255902,9.049131323085483,2.662781625,791.6066976709989,0.0 
 01/15  19:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,791.7244205609895,0.0 
 01/15  19:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,791.8412356587361,0.0 
 01/15  19:30:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,791.9571499183078,0.0 
 01/15  19:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,792.0721702423183,0.0 
 01/15  20:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,792.1863034794806,0.0 
 01/15  20:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,792.2995564289157,0.0 
 01/15  20:30:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,792.411935836426,0.0 
 01/15  20:45:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,792.5234483979876,0.0 
 01/15  21:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,792.6341007577723,0.0 
 01/15  21:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,792.7438995111736,0.0 
 01/15  21:30:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,792.852851202246,0.0 
 01/15  21:45:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,792.9609623266152,0.0 
 01/15  22:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,793.0682393296157,0.0 
 01/15  22:15:00,17.0,5.071965,247.5,17.0,5.071965,17.000000000000004,2.9417762443903815e-8,7.988344875,8.003340566255902,9.049131323085483,2.662781625,793.1746886086186,0.0 
 01/15  22:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,793.2803165123333,0.0 
 01/15  22:45:00,17.0,5.071965,247.5,17.0,5.071965,17.000000000000007,5.883552488780763e-8,7.988344875,8.003340566255902,9.049131323085483,2.662781625,793.3851293417395,0.0 
 01/15  23:00:00,17.0,5.071965,247.5,17.0,5.071965,17.000000000000004,2.9417762443903815e-8,7.988344875,8.003340566255902,9.049131323085483,2.662781625,793.4891333483395,0.0 
 01/15  23:15:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,793.592334739049,0.0 
 01/15  23:30:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,793.6947396715407,0.0 
 01/15  23:45:00,17.0,5.071965,247.5,17.0,5.071965,16.999999999999996,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,793.7963542572692,0.0 
 01/15  24:00:00,17.0,5.071965,247.5,17.0,5.071965,17.0,0.0,7.988344875,8.003340566255902,9.049131323085483,2.662781625,793.8971845622875,0.0 
