Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Wind Speed [m/s](Hourly),Z_TOR_ZSP_1P70:Zone Outdoor Air Drybulb Temperature [C](Hourly),Z_TOR_ZSP_1P70:Zone Outdoor Air Wind Speed [m/s](Hourly),Z_HALLE_ZSP_6P00:Zone Outdoor Air Drybulb Temperature [C](Hourly),Z_HALLE_ZSP_6P00:Zone Outdoor Air Wind Speed [m/s](Hourly),Z_HOCH_ZSP_12P00:Zone Outdoor Air Drybulb Temperature [C](Hourly),Z_HOCH_ZSP_12P00:Zone Outdoor Air Wind Speed [m/s](Hourly),Z_TOR_ZSP_1P70_WALL_S:Surface Outside Face Outdoor Air Drybulb Temperature [C](Hourly),Z_TOR_ZSP_1P70_WALL_S:Surface Outside Face Outdoor Air Wind Speed [m/s](Hourly),Z_TOR_ZSP_1P70_ROOF:Surface Outside Face Outdoor Air Drybulb Temperature [C](Hourly),Z_TOR_ZSP_1P70_ROOF:Surface Outside Face Outdoor Air Wind Speed [m/s](Hourly),Z_HALLE_ZSP_6P00_WALL_S:Surface Outside Face Outdoor Air Drybulb Temperature [C](Hourly),Z_HALLE_ZSP_6P00_WALL_S:Surface Outside Face Outdoor Air Wind Speed [m/s](Hourly),Z_HALLE_ZSP_6P00_ROOF:Surface Outside Face Outdoor Air Drybulb Temperature [C](Hourly),Z_HALLE_ZSP_6P00_ROOF:Surface Outside Face Outdoor Air Wind Speed [m/s](Hourly),Z_HOCH_ZSP_12P00_WALL_S:Surface Outside Face Outdoor Air Drybulb Temperature [C](Hourly),Z_HOCH_ZSP_12P00_WALL_S:Surface Outside Face Outdoor Air Wind Speed [m/s](Hourly),Z_HOCH_ZSP_12P00_ROOF:Surface Outside Face Outdoor Air Drybulb Temperature [C](Hourly),Z_HOCH_ZSP_12P00_ROOF:Surface Outside Face Outdoor Air Wind Speed [m/s](Hourly) 
 07/21  01:00:00,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5 
 07/21  02:00:00,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5 
 07/21  03:00:00,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5 
 07/21  04:00:00,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5 
 07/21  05:00:00,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5 
 07/21  06:00:00,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5 
 07/21  07:00:00,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5 
 07/21  08:00:00,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5 
 07/21  09:00:00,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5 
 07/21  10:00:00,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5 
 07/21  11:00:00,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5 
 07/21  12:00:00,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5 
 07/21  13:00:00,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5 
 07/21  14:00:00,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5 
 07/21  15:00:00,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5 
 07/21  16:00:00,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5 
 07/21  17:00:00,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5 
 07/21  18:00:00,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5 
 07/21  19:00:00,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5 
 07/21  20:00:00,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5 
 07/21  21:00:00,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5 
 07/21  22:00:00,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5 
 07/21  23:00:00,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5 
 07/21  24:00:00,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5,17.0,6.5 
