Stunde_im_Auswertezeitraum;Datum;Uhrzeit;Aussentemperatur_C;Windgeschwindigkeit_m_s;Windrichtung_Grad;Schedule_AN_1_Mittel;Schedule_AN_2_Mittel;Schedule_AN_3_Mittel;Schedule_AB_1_Mittel;Schedule_AB_2_Mittel;Schedule_AB_3_Mittel;Heizlast_AFN_E+_W;Volumenstrom_AFN_E+_m3_s;Luftwechsel_AFN_E+_1_h;Zonentemperatur_AFN_E+_C;Heizlast_WSOA_W;Volumenstrom_WSOA_m3_s;Luftwechsel_WSOA_1_h;Zonentemperatur_WSOA_C;Heizlast_DFR_DEFAULT_W;Volumenstrom_DFR_DEFAULT_m3_s;Luftwechsel_DFR_DEFAULT_1_h;Zonentemperatur_DFR_DEFAULT_C;Heizlast_DFR_BLAST_W;Volumenstrom_DFR_BLAST_m3_s;Luftwechsel_DFR_BLAST_1_h;Zonentemperatur_DFR_BLAST_C;Heizlast_DFR_DOE-2_W;Volumenstrom_DFR_DOE-2_m3_s;Luftwechsel_DFR_DOE-2_1_h;Zonentemperatur_DFR_DOE-2_C
1;01.01.;00:00;-8,04;4,18;109,5;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;23061,3;0,084002;0,02800;17,000;22671,8;0,078056;0,02602;17,000;22671,8;0,078056;0,02602;17,000;22671,8;0,078056;0,02602;17,000;22671,8;0,078056;0,02602;17,000
2;01.01.;01:00;-6,79;4,89;85,1;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;23059,0;0,096982;0,03233;17,000;22290,2;0,077661;0,02589;17,000;22290,2;0,077661;0,02589;17,000;22290,2;0,077661;0,02589;17,000;22290,2;0,077661;0,02589;17,000
3;01.01.;02:00;-6,15;3,08;84,9;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;21512,4;0,066144;0,02205;17,000;21659,0;0,077457;0,02582;17,000;21659,0;0,077457;0,02582;17,000;21659,0;0,077457;0,02582;17,000;21659,0;0,077457;0,02582;17,000
4;01.01.;03:00;-5,75;2,61;80,0;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;20872,3;0,058801;0,01960;17,000;21225,2;0,077332;0,02578;17,000;21225,2;0,077332;0,02578;17,000;21225,2;0,077332;0,02578;17,000;21225,2;0,077332;0,02578;17,000
5;01.01.;04:00;-5,55;2,03;100,3;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;20470,6;0,054206;0,01807;17,000;20947,7;0,077268;0,02576;17,000;20947,7;0,077268;0,02576;17,000;20947,7;0,077268;0,02576;17,000;20947,7;0,077268;0,02576;17,000
6;01.01.;05:00;-5,40;1,25;130,2;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;20133,5;0,049178;0,01639;17,000;20746,4;0,077220;0,02574;17,000;20746,4;0,077220;0,02574;17,000;20746,4;0,077220;0,02574;17,000;20746,4;0,077220;0,02574;17,000
7;01.01.;06:00;-5,25;1,25;175,6;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;20025,7;0,048588;0,01620;17,000;20650,4;0,077177;0,02573;17,000;20650,4;0,077177;0,02573;17,000;20650,4;0,077177;0,02573;17,000;20650,4;0,077177;0,02573;17,000
8;01.01.;07:00;-5,15;1,81;250,7;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;10655,2;0,051526;0,01718;17,000;11197,1;0,077150;0,02572;17,000;11197,1;0,077150;0,02572;17,000;11197,1;0,077150;0,02572;17,000;11197,1;0,077150;0,02572;17,000
9;01.01.;08:00;-5,10;1,53;295,1;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;10510,0;0,050367;0,01679;17,000;11082,5;0,077135;0,02571;17,000;11082,5;0,077135;0,02571;17,000;11082,5;0,077135;0,02571;17,000;11082,5;0,077135;0,02571;17,000
10;01.01.;09:00;-4,85;1,57;264,4;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;10310,0;0,050104;0,01670;17,000;10882,8;0,077055;0,02568;17,000;10882,8;0,077055;0,02568;17,000;10882,8;0,077055;0,02568;17,000;10882,8;0,077055;0,02568;17,000
